run_id,num_photons,num_cells,num_blocks,num_steps,compression_ratio,mean_cell_flux,std_cell_flux
0,39363,403,4,3,100.75,23.02142002468446,18.25240855411435
1,40922,403,4,3,100.75,24.24443981609031,19.057565530547343
2,41727,403,4,3,100.75,24.678776220053184,19.099925003642337
3,38786,403,4,3,100.75,22.758070916513713,18.187124396581293
4,39202,403,4,3,100.75,23.178862707232224,17.93663444179045
5,41599,403,4,3,100.75,24.793682792250973,19.234970360666107
6,41775,403,4,3,100.75,24.653965777717353,19.66376398901851
7,41995,403,4,3,100.75,24.740393349900444,19.634018858634537
8,38040,403,4,3,100.75,22.385684875291346,17.809793832461697
9,40194,403,4,3,100.75,23.987906111595425,18.903175882704424
10,38079,403,5,3,80.6,22.55262309158516,17.87665172855166
11,39657,403,4,3,100.75,23.329722555746766,18.061847926784278
12,38647,403,5,3,80.6,23.12649067010229,18.38370524024011
13,41517,403,4,3,100.75,24.206940211830346,19.35266819972764
14,39061,403,4,3,100.75,23.151444541225125,18.6202655856038
15,38330,403,5,3,80.6,22.40112679389324,18.2702449873968
16,39325,403,4,3,100.75,23.1707909716257,18.58728930497509
17,38988,403,5,3,80.6,22.827283307758204,17.65350678257869
18,40249,403,5,3,80.6,23.85471230171379,18.281599397776496
19,38335,403,4,3,100.75,22.654686903599085,17.536627679152755
20,39845,403,4,3,100.75,23.81984600125967,19.20584871696128
21,39025,403,4,3,100.75,23.157531467403572,18.197942850533373
22,39370,403,5,3,80.6,23.502619333310076,18.29052674342404
23,40634,403,4,3,100.75,24.54951535611215,19.1167046520363
24,39254,403,3,3,134.33333333333334,23.383470543607768,18.42149071738819
25,38267,403,4,3,100.75,22.62564946237877,17.590372900701574
26,38649,403,6,3,67.16666666666667,23.05104901444622,17.808701201874854
27,40510,403,4,3,100.75,23.905144584513057,18.910913039407397
28,40686,403,4,3,100.75,24.349539880775392,18.587528147805195
29,40901,403,4,3,100.75,24.483226604048955,19.330360088613524
30,41515,403,4,3,100.75,24.759657319094863,19.117525306746195
31,38696,403,4,3,100.75,22.749811620105802,17.734474346458832
32,38360,403,4,3,100.75,22.910823715627874,17.99593490852967
33,40062,403,4,3,100.75,23.640211784107542,18.715199476133627
34,38490,403,4,3,100.75,22.7623558563069,18.161063568017784
35,41875,403,4,3,100.75,24.856658280210247,19.622480069567047
36,39391,403,3,3,134.33333333333334,23.49703467670826,18.11087404229518
37,40345,403,4,3,100.75,24.161022954360718,19.22862287746386
38,39621,403,4,3,100.75,23.142846299681082,18.341354412797568
39,39025,403,4,3,100.75,23.074759403918744,18.35324087786415
40,41318,403,4,3,100.75,24.48484209632581,19.38178876484056
41,38822,403,4,3,100.75,23.06022988107213,18.19291753473681
42,38246,403,5,3,80.6,22.84247966828973,17.238593586155744
43,41568,403,4,3,100.75,24.323097366132995,19.110705565318813
44,39375,403,4,3,100.75,23.345941191325778,18.5873152465994
45,40523,403,5,3,80.6,24.179839715036362,18.894646979802253
46,38902,403,4,3,100.75,23.09166306444964,18.547326198814925
47,38936,403,4,3,100.75,22.7532594556754,18.142599505672965
48,38424,403,4,3,100.75,22.69796668122893,17.970675189460827
49,38764,403,5,3,80.6,23.046654357601295,18.69477976984441
50,39959,403,4,3,100.75,23.67305833478014,18.542492001186563
51,38546,403,5,3,80.6,22.91828030213394,17.883469633408694
52,39411,403,4,3,100.75,23.213409884192895,18.92066835259455
53,40067,403,4,3,100.75,24.043549824703106,18.46238043670434
54,41770,403,4,3,100.75,25.02758715333738,19.462582823651044
55,41400,403,4,3,100.75,24.409313715944165,19.457134580003366
56,38683,403,4,3,100.75,22.82781047090905,17.954044521745786
57,40075,403,4,3,100.75,23.76552154200469,19.081018761555615
58,40081,403,5,3,80.6,23.932883227317113,18.971607922344344
59,39901,403,4,3,100.75,23.963290095378447,18.868849350069542
60,39664,403,4,3,100.75,23.63741442868123,18.37855343171558
61,38392,403,4,3,100.75,22.84301748819431,18.269044026207144
62,40272,403,4,3,100.75,23.641180959912766,18.9646107078923
63,39724,403,4,3,100.75,23.723414531876703,18.420229346509682
64,39260,403,3,3,134.33333333333334,23.428252172036817,18.117587110977038
65,39573,403,5,3,80.6,23.049262483238053,18.092700654091495
66,41056,403,5,3,80.6,24.50117006448112,18.725032767155092
67,41037,403,4,3,100.75,24.464547630153266,19.455303604008865
68,40133,403,4,3,100.75,23.492798720167873,18.429264660039202
69,38775,403,4,3,100.75,23.199352233893958,17.81404016854771
70,41347,403,5,3,80.6,24.689815817817923,19.364232701252952
71,39197,403,5,3,80.6,23.55224858953974,18.029419677576364
72,39251,403,4,3,100.75,23.23576345463747,18.245682749932172
73,38161,403,6,3,67.16666666666667,22.678206428893457,17.50243585788081
74,40984,403,4,3,100.75,24.261667718580235,18.956939748150656
75,39525,403,4,3,100.75,23.12971548326863,17.902963265538844
76,40330,403,4,3,100.75,24.248149647319575,18.93213388242079
77,39935,403,5,3,80.6,23.65039821854578,18.52657709003999
78,41907,403,4,3,100.75,24.594386794576856,19.306321895959176
79,40968,403,5,3,80.6,24.16987962005016,18.618189934904276
80,39676,403,4,3,100.75,23.36586424000426,18.11274367700515
81,40830,403,4,3,100.75,24.05661168262234,18.953900404151373
82,40904,403,4,3,100.75,24.210172789040254,19.08234980647883
83,38466,403,4,3,100.75,22.6625768025417,18.36288601925149
84,40228,403,4,3,100.75,23.67492330690287,18.73570899329981
85,40158,403,4,3,100.75,24.13295263695649,18.817223555492518
86,40117,403,5,3,80.6,23.61494643919602,18.76959467546306
87,38505,403,4,3,100.75,22.74410905514084,17.98499329069264
88,39291,403,4,3,100.75,23.300291747403918,18.19761066772773
89,39075,403,3,3,134.33333333333334,23.212255888716467,18.172633676292847
90,40550,403,4,3,100.75,23.644319528019714,18.57985648362415
91,38922,403,4,3,100.75,22.82012413683221,18.281241932963106
92,41454,403,5,3,80.6,24.394899093880404,19.14639220282692
93,41212,403,4,3,100.75,24.303297278822793,19.157298575481295
94,38062,403,5,3,80.6,22.55844149375005,18.135941166770714
95,38884,403,4,3,100.75,22.855921917877374,18.059139924684498
96,41963,403,4,3,100.75,24.882645233255456,19.750562259415986
97,40597,403,4,3,100.75,24.273169909214108,18.761964181024783
98,38655,403,4,3,100.75,22.952111941416348,18.644702042249925
99,41032,403,4,3,100.75,24.475083836346244,19.637220161102537
