source,bbvar,nblocks,flux_mean,flux_std,flux_min,flux_max,nearby_count,nfft_peaks
J1441.8+1838,59.49245563064022,4,1.5,1.118033988749895,0.0,3.0,5,2
J1442.0-3707,4.983358680295751,3,1.0,0.816496580927726,0.0,2.0,5,2
J1442.1+4348,14.593569408436224,2,0.5,0.5,0.0,1.0,5,2
J1442.1-2801,0.007928908336907625,1,0.0,0.0,0.0,0.0,5,2
J1442.2+0620,172.69201518158502,7,3.0,2.0,0.0,6.0,5,3
J1442.2+0734,0.0004984021235259206,1,0.0,0.0,0.0,0.0,5,2
J1442.4-6004,0.001386687159538269,1,0.0,0.0,0.0,0.0,5,2
J1442.5-4623,31.538095502940195,3,1.0,0.816496580927726,0.0,2.0,5,2
J1442.7+1201,10.565644315369862,2,0.5,0.5,0.0,1.0,5,2
J1443.1+4727,32.49752911799396,4,1.5,1.118033988749895,0.0,3.0,5,2
J1443.1+5202,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1443.2-1001,0.00012179499083231349,1,0.0,0.0,0.0,0.0,5,2
J1443.5-7038,0.000441073440015316,1,0.0,0.0,0.0,0.0,5,2
J1443.6+2516,2841.2594647818323,31,15.0,8.94427190999916,0.0,30.0,5,3
J1443.9+2501,6565.959743924746,36,17.5,10.388294694831615,0.0,35.0,5,3
J1443.9-3908,750.3759374039219,11,5.0,3.1622776601683795,0.0,10.0,5,3
J1444.5+7602,0.004474187119342332,1,0.0,0.0,0.0,0.0,5,2
J1444.6-5932,44.9619535295642,4,1.5,1.118033988749895,0.0,3.0,5,2
J1445.0-0140,0.0006933478580322117,1,0.0,0.0,0.0,0.0,5,2
J1445.1+3647,0.0012409473454226827,1,0.0,0.0,0.0,0.0,5,2
J1445.1-0326,4.286095368792303,2,0.5,0.5,0.0,1.0,5,2
J1445.1-1958,0.00022026220926818496,1,0.0,0.0,0.0,0.0,5,2
J1445.1-5950,0.001573704183101654,1,0.0,0.0,0.0,0.0,5,2
